iter	Passed	Remaining
431	86193	113328
432	86374	113104
433	86572	112902
434	86757	112685
435	86948	112474
436	87179	112316
437	87375	112112
438	87515	111835
439	87655	111560
440	87852	111359
441	88017	111117
442	88178	110870
443	88369	110660
444	88528	110411
445	88715	110198
446	88952	110046
447	89198	109905
448	89397	109706
449	89553	109453
450	89696	109187
451	89846	108929
452	90071	108762
453	90230	108515
454	90411	108295
455	90597	108081
456	90790	107876
457	91039	107737
458	91233	107532
459	91361	107250
460	91482	106961
461	91676	106757
462	91819	106494
463	91982	106255
464	92121	105989
465	92287	105754
466	92452	105519
467	92626	105293
468	92785	105051
469	92947	104812
470	93186	104662
471	93354	104430
472	93572	104255
473	93766	104053
474	93904	103788
475	94043	103527
476	94220	103306
477	94394	103083
478	94551	102841
479	94721	102614
480	94898	102395
481	95050	102149
482	95241	101945
483	95474	101786
484	95649	101566
485	95830	101351
486	95988	101112
487	96165	100894
488	96313	100646
489	96536	100476
490	96744	100291
491	96933	100085
492	97109	99867
493	97316	99679
494	97468	99437
495	97683	99258
496	97838	99019
497	97965	98751
498	98114	98507
499	98268	98268
500	98418	98025
501	98633	97847
502	98834	97655
503	99020	97448
504	99163	97200
505	99297	96942
506	99458	96712
507	99636	96498
508	99810	96280
509	99972	96051
510	100210	95895
511	100442	95734
512	100647	95546
513	100772	95283
514	100951	95070
515	101115	94845
516	101307	94644
517	101496	94442
518	101667	94223
519	101868	94032
520	102120	93887
521	102266	93646
522	102407	93400
523	102599	93201
524	102795	93005
525	102937	92761
526	103102	92537
527	103332	92373
528	103490	92143
529	103715	91974
530	103889	91759
531	104065	91546
532	104231	91324
533	104382	91090
534	104556	90876
535	104738	90668
536	104900	90444
537	105067	90225
538	105200	89976
539	105390	89776
540	105555	89556
541	105728	89342
542	105920	89144
543	106110	88945
544	106267	88718
545	106482	88540
546	106623	88300
547	106821	88108
548	106978	87881
549	107132	87653
550	107305	87441
551	107518	87261
552	107687	87045
553	107825	86805
554	107980	86579
555	108173	86382
556	108334	86161
557	108521	85961
558	108676	85735
559	108844	85520
560	108979	85280
561	109213	85116
562	109418	84930
563	109562	84697
564	109729	84482
565	109900	84269
566	110079	84064
567	110215	83825
568	110408	83631
569	110537	83388
570	110737	83198
571	110964	83029
572	111148	82828
573	111365	82650
574	111510	82421
575	111736	82250
576	111911	82042
577	112078	81828
578	112254	81621
579	112410	81400
580	112605	81207
581	112755	80982
582	112934	80777
583	113107	80569
584	113255	80343
585	113503	80188
586	113769	80045
587	114015	79888
588	114242	79717
589	114476	79551
590	114696	79375
591	114965	79233
592	115220	79080
593	115497	78942
594	115731	78775
595	116016	78642
596	116255	78477
597	116533	78338
598	116843	78220
599	117113	78075
600	117388	77933
601	117668	77793
602	117906	77626
603	118199	77495
604	118535	77391
605	118733	77196
606	118969	77026
607	119156	76824
608	119361	76634
609	119684	76519
610	119900	76336
611	120106	76146
612	120301	75948
613	120608	75822
614	120931	75705
615	121216	75563
616	121486	75412
617	121823	75301
618	122178	75201
619	122442	75045
620	122765	74924
621	123010	74755
622	123262	74590
623	123540	74441
624	123766	74260
625	123979	74071
626	124291	73940
627	124562	73785
628	124790	73604
629	125093	73467
630	125361	73309
631	125622	73147
632	125872	72978
633	126161	72831
634	126383	72645
635	126666	72494
636	126891	72310
637	127064	72096
638	127271	71901
639	127684	71822
640	127931	71649
641	128270	71527
642	128493	71340
643	128743	71168
644	128986	70992
645	129229	70815
646	129479	70643
647	129744	70478
648	129979	70297
649	130216	70116
650	130440	69928
651	130681	69750
652	130970	69597
653	131213	69418
654	131418	69220
655	131625	69023
656	131845	68832
657	132085	68652
658	132313	68465
659	132550	68283
660	132845	68131
661	133174	67995
662	133391	67802
663	133670	67640
664	133847	67426
665	134060	67231
666	134319	67058
667	134559	66876
668	134821	66705
669	135122	66552
670	135304	66341
671	135437	66106
672	135598	65885
673	135810	65688
674	135952	65458
675	136151	65256
676	136338	65047
677	136508	64831
678	136783	64664
679	136983	64462
680	137147	64243
681	137308	64023
682	137489	63812
683	137666	63600
684	137827	63380
685	138003	63167
686	138192	62961
687	138376	62751
688	138544	62536
689	138723	62324
690	138916	62120
691	139043	61886
692	139198	61665
693	139400	61464
694	139582	61255
695	139741	61036
696	139889	60812
697	140042	60591
698	140201	60373
699	140369	60158
700	140562	59954
701	140700	59727
702	140864	59511
703	141022	59293
704	141177	59074
705	141397	58882
706	141607	58685
707	141772	58471
708	141930	58253
709	142157	58064
710	142367	57867
711	142525	57650
712	142684	57433
713	142826	57210
714	143024	57009
715	143166	56786
716	143305	56562
717	143557	56383
718	143872	56228
719	144104	56040
720	144290	55835
721	144453	55620
722	144594	55397
723	144727	55172
724	144936	54975
725	145107	54765
726	145299	54562
727	145513	54367
728	145807	54202
729	146032	54011
730	146228	53810
731	146405	53602
732	146618	53406
733	146759	53185
734	146910	52967
735	147052	52747
736	147191	52525
737	147348	52310
738	147503	52095
739	147630	51870
740	147777	51652
741	147956	51445
742	148162	51248
743	148345	51043
744	148488	50824
745	148660	50616
746	148807	50399
747	148955	50182
748	149135	49977
749	149300	49766
750	149467	49556
751	149655	49354
752	149800	49137
753	149983	48933
754	150145	48722
755	150310	48512
756	150493	48308
757	150648	48096
758	150784	47877
759	151017	47689
760	151238	47497
761	151371	47278
762	151589	47086
763	151723	46867
764	151875	46654
765	152059	46451
766	152244	46248
767	152418	46043
768	152592	45837
769	152799	45641
770	152974	45436
771	153138	45227
772	153355	45034
773	153550	44835
774	153734	44632
775	153873	44416
776	154080	44221
777	154251	44015
778	154425	43809
779	154580	43599
780	154859	43424
781	155053	43224
782	155234	43021
783	155392	42812
784	155594	42615
785	155741	42402
786	155897	42193
787	156102	41997
788	156241	41783
789	156425	41581
790	156612	41380
791	156764	41170
792	156914	40960
793	157104	40759
794	157271	40554
795	157484	40360
796	157673	40160
797	157860	39959
798	158020	39752
799	158167	39541
800	158307	39329
801	158470	39123
802	158641	38919
803	158863	38727
804	159017	38519
805	159175	38312
806	159330	38105
807	159503	37901
808	159642	37690
809	159808	37485
810	160050	37299
811	160194	37089
812	160367	36886
813	160538	36683
814	160665	36470
815	160861	36272
816	160986	36059
817	161118	35847
818	161262	35639
819	161440	35438
820	161569	35226
821	161768	35030
822	161959	34832
823	162112	34626
824	162273	34421
825	162461	34223
826	162606	34015
827	162802	33818
828	163003	33623
829	163140	33414
830	163305	33211
831	163510	33016
832	163752	32829
833	164027	32648
834	164185	32443
835	164370	32244
836	164571	32049
837	164740	31847
838	164880	31639
839	165067	31441
840	165244	31241
841	165423	31041
842	165594	30840
843	165761	30638
844	165938	30438
845	166123	30239
846	166260	30032
847	166432	29832
848	166631	29636
849	166817	29438
850	166976	29235
851	167160	29037
852	167297	28830
853	167475	28631
854	167646	28431
855	167809	28229
856	168009	28034
857	168202	27837
858	168443	27649
859	168628	27451
860	168760	27244
861	168958	27048
862	169143	26851
863	169325	26653
864	169475	26449
865	169642	26249
866	169792	26046
867	170003	25853
868	170143	25648
869	170312	25448
870	170470	25247
871	170628	25046
872	170776	24843
873	170927	24641
874	171070	24438
875	171222	24236
876	171415	24041
877	171645	23850
878	171801	23649
879	171988	23452
880	172173	23256
881	172349	23058
882	172515	22858
883	172731	22666
884	173004	22480
885	173181	22282
886	173367	22086
887	173529	21886
888	173688	21686
889	173880	21490
890	174093	21297
891	174303	21104
892	174495	20908
893	174657	20708
894	174796	20506
895	174924	20303
896	175116	20108
897	175270	19908
898	175409	19706
899	175565	19507
900	175744	19310
901	175915	19112
902	176059	18912
903	176211	18712
904	176359	18512
905	176535	18316
906	176761	18124
907	176926	17926
908	177085	17728
909	177245	17529
910	177380	17329
911	177524	17129
912	177684	16931
913	177871	16736
914	178054	16540
915	178179	16339
916	178368	16144
917	178509	15945
918	178683	15749
919	178848	15552
920	179019	15355
921	179214	15161
922	179364	14963
923	179509	14764
924	179666	14567
925	179875	14374
926	180047	14178
927	180277	13987
928	180455	13791
929	180614	13594
930	180788	13398
931	180957	13202
932	181084	13003
933	181238	12806
934	181405	12611
935	181596	12416
936	181892	12229
937	182033	12032
938	182210	11836
939	182393	11642
940	182561	11446
941	182735	11251
942	182949	11058
943	183073	10860
944	183285	10667
945	183447	10471
946	183645	10277
947	183782	10080
948	183943	9885
949	184142	9691
950	184309	9496
951	184469	9300
952	184623	9105
953	184776	8909
954	184928	8713
955	185117	8520
956	185247	8323
957	185411	8128
958	185635	7936
959	185863	7744
960	186059	7550
961	186218	7355
962	186432	7163
963	186619	6969
964	186792	6774
965	186963	6580
966	187136	6386
967	187295	6191
968	187445	5996
969	187614	5802
970	187775	5608
971	187908	5412
972	188072	5218
973	188241	5024
974	188411	4831
975	188599	4637
976	188762	4443
977	188979	4251
978	189108	4056
979	189278	3862
980	189474	3669
981	189627	3475
982	189772	3281
983	189970	3088
984	190141	2895
985	190311	2702
986	190488	2508
987	190706	2316
988	190885	2123
989	191093	1930
990	191276	1737
991	191473	1544
992	191625	1350
993	191779	1157
994	191941	964
995	192101	771
996	192289	578
997	192457	385
998	192593	192
999	192752	0
