iter	RMSE
0	0.04603368716
1	0.04171034237
2	0.03793317985
3	0.03472456858
4	0.03199890007
5	0.02967286903
6	0.02770934539
7	0.02607725519
8	0.02474363674
9	0.02362494815
10	0.02271295031
11	0.0219557534
12	0.02134160987
13	0.02085189858
14	0.02045286573
15	0.02013396938
16	0.01987311349
17	0.01966353911
18	0.01949851097
19	0.01936196122
20	0.01925315415
21	0.0191606341
22	0.01908531671
23	0.01902671762
24	0.01896944676
25	0.0189277259
26	0.01888629492
27	0.01885497387
28	0.01882853977
29	0.01880691535
30	0.0187898283
31	0.01877790525
32	0.01876739937
33	0.01875684744
34	0.01874328916
35	0.01873497995
36	0.01872746586
37	0.01872136283
38	0.01871341808
39	0.01870655851
40	0.01869927541
41	0.018694398
42	0.01868949161
43	0.01868492219
44	0.01868112018
45	0.01867629405
46	0.01867164473
47	0.01866742255
48	0.01866441664
49	0.01866055559
50	0.01865689746
51	0.01865458052
52	0.01865162601
53	0.01864920512
54	0.01864611613
55	0.01864312056
56	0.01864129084
57	0.01863809892
58	0.01863649954
59	0.01863434975
60	0.01863241927
61	0.0186286628
62	0.01862473719
63	0.0186229969
64	0.0186215078
65	0.01861813842
66	0.01861618437
67	0.01861487604
68	0.01861234238
69	0.01861151674
70	0.01860957302
71	0.01860723879
72	0.01860674036
73	0.01860536281
74	0.01860463674
75	0.01860323455
76	0.01860211394
77	0.01859915544
78	0.01859815775
79	0.01859773268
80	0.01859606652
81	0.01859519206
82	0.01859455079
83	0.01859399483
84	0.01859018619
85	0.01858948208
86	0.01858900814
87	0.01858723487
88	0.01858673168
89	0.0185858644
90	0.01858519498
91	0.01858359432
92	0.01858228458
93	0.01858143872
94	0.01858063814
95	0.01857917565
96	0.01857885374
97	0.01857665639
98	0.01857514879
99	0.01857224311
100	0.01857188542
101	0.0185713792
102	0.0185701327
103	0.01856982014
104	0.01856937285
105	0.01856899548
106	0.01856862456
107	0.01856733943
108	0.01856665804
109	0.01856588966
110	0.01856536414
111	0.01856414896
112	0.01856360846
113	0.01856265051
114	0.01856024126
115	0.01855826053
116	0.01855794544
117	0.01855692317
118	0.01855623667
119	0.01855539227
120	0.01855512032
121	0.01855426613
122	0.01855360189
123	0.0185512817
124	0.01855081444
125	0.01855036011
126	0.01854954277
127	0.01854876481
128	0.01854778827
129	0.01854671328
130	0.01854500928
131	0.0185428189
132	0.01854186808
133	0.01854146696
134	0.01854111578
135	0.01854068226
136	0.01854019499
137	0.0185398699
138	0.01853925669
139	0.01853765692
140	0.01853606129
141	0.01853528719
142	0.01853498435
143	0.01853468721
144	0.01853345251
145	0.01853213871
146	0.01853097458
147	0.01853036786
